"","lon","lat"
"922",-95.712891,37.09024
"923",NA,NA
"924",-88.5115175,40.7470271
"925",-51.92528,-14.235004
"926",8.8004529,46.331734
"927",-71.0588801,42.3600825
"928",-118.2436849,34.0522342
"929",-3.7037902,40.4167754
"930",-87.6297982,41.8781136
"931",-2.9915726,53.4083714
"932",NA,NA
"933",19.145136,51.919438
"934",-70.6692655,-33.4488897
"935",NA,NA
"936",-77.0469214,38.8048355
"937",10.451526,51.165691
"938",-118.8161408,34.1611225
"939",-84.254054,33.9198988
"940",-121.4943996,38.5815719
"941",-81.5157535,27.6648274
"942",-122.4194155,37.7749295
"943",1.444209,43.604652
"944",-84.3879824,33.7489954
"945",-49.267137,-25.4289541
"946",121.0437003,14.6760413
"947",-81.5157535,27.6648274
"948",NA,NA
"949",-73.7948516,40.7282239
"950",-92.2954588,38.9172054
"951",-118.2436849,34.0522342
"952",-95.712891,37.09024
"953",112.7520883,-7.2574719
"954",-111.0937311,34.0489281
"955",37.6173,55.755826
"956",NA,NA
"957",-79.7624177,43.7315479
"958",20.4522144,54.7104264
"959",-115.1175013,36.1988592
"960",-82.9000751,32.1656221
"961",-63.4168136,46.510712
"962",NA,NA
"963",-110.9632373,41.2682794
"964",-84.2640904,33.2467807
"965",-51.92528,-14.235004
"966",-74.0059413,40.7127837
"967",-81.1637245,33.836081
"968",2.39851,48.792001
"969",-84.3879824,33.7489954
"970",-95.9847859,18.7249031
"971",-75.5812119,6.244203
"972",NA,NA
"973",-118.3574613,34.0979084
"974",4.469936,50.503887
"975",-76.2710833,-12.2720956
"976",-1.1057192,50.7946785
"977",-87.6297982,41.8781136
"978",-75.6881771,38.2116345
"979",-79.3831843,43.653226
"980",105.318756,61.52401
"981",-84.3879824,33.7489954
"982",10.451526,51.165691
"983",9.501785,56.26392
"984",-74.4056612,40.0583238
"985",-93.1029939,16.7516009
"986",-56.1645314,-34.9011127
"987",-74.4056612,40.0583238
"988",NA,NA
"989",37.6173,55.755826
"990",NA,NA
"991",-87.6297982,41.8781136
"992",-74.0059413,40.7127837
"993",-112.0740373,33.4483771
"994",-84.3879824,33.7489954
"995",-95.3563918,29.7450393
"996",-73.3575572,5.5446422
"997",-80.2781057,25.8575963
"998",NA,NA
"999",-54.9306152,-1.9981271
"1000",14.2681244,40.8517746
"1001",-74.4056612,40.0583238
"1002",-110.7331063,32.9208126
"1003",-119.4179324,36.778261
"1004",NA,NA
"1005",NA,NA
"1006",-103.3496092,20.6596988
"1007",14.8475139,41.1099473
"1008",-115.138862,36.1691085
"1009",NA,NA
"1010",-112.0740373,33.4483771
"1011",-112.0740373,33.4483771
"1012",-1.345968,53.723466
"1013",-84.4540213,11.6932207
"1014",-0.137163,50.82253
"1015",-77.071424,39.027662
"1016",-102.552784,23.634501
"1017",-112.0318412,41.1398683
"1018",NA,NA
"1019",-96.7219034,17.0686305
"1020",-73.957536,40.714337
"1021",-46.659167,-23.654167
"1022",NA,NA
"1023",-74.0059413,40.7127837
"1024",106.822745,-6.1744651
"1025",-118.2436849,34.0522342
"1026",NA,NA
"1027",-75.1652215,39.9525839
"1028",-60.6505388,-32.9442426
"1029",-71.3824374,42.4072107
"1030",-85.3232139,51.253775
"1031",-81.3792365,28.5383355
"1032",-48.374721,-1.3642722
"1033",-118.2436849,34.0522342
"1034",-1.304734,50.6938479
"1035",112.7520883,-7.2574719
"1036",-74.0059413,40.7127837
"1037",45.079162,23.885942
"1038",-74.0059413,40.7127837
"1039",-118.5214282,34.1517492
"1040",-2.1113659,53.5409298
"1041",-83.6324022,32.8406946
"1042",-114.0708459,51.0486151
"1043",-82.6392899,30.1896756
"1044",-100.8153539,20.5699064
"1045",-102.552784,23.634501
"1046",NA,NA
"1047",-118.4694832,33.9850469
"1048",-95.712891,37.09024
"1049",NA,NA
"1050",-118.2436849,34.0522342
"1051",NA,NA
"1052",NA,NA
"1053",NA,NA
"1054",-79.9958864,40.4406248
"1055",-49.267137,-25.4289541
"1056",NA,NA
"1057",-87.6297982,41.8781136
"1058",-123.0682842,49.2510631
"1059",0.121817,52.205337
"1060",NA,NA
"1061",-51.92528,-14.235004
"1062",-71.0588801,42.3600825
"1063",NA,NA
"1064",12.5683371,55.6760968
"1065",-99.133208,19.4326077
"1066",136.6244847,34.9651567
"1067",-66.1057355,18.4655394
"1068",NA,NA
"1069",NA,NA
"1070",-96.0120374,41.203529
"1071",12.56738,41.87194
"1072",-73.7017858,42.5909135
"1073",115.66283,-2.2179704
